art_ini,art_fim,capitulo_atual,tema,status,plc_arts,observacao
1,4,Tít. I,Instituição e finalidade do Código,CONDENSADO,1; 8,Finalidade absorvida pelo art. 1º do PLC; dever de facilitar a fiscalização migra para o art. 8º
5,8,Tít. II — Cap. I,Competência em higiene pública,CONDENSADO,11–12,Rol de fiscalização reescrito no art. 11 §2º; auto de infração tratado no Tít. VI do PLC
9,20,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
21,29,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
30,33,Tít. II — Cap. IV,Higiene das edificações na área rural,CONDENSADO,11 §2º II,Sem capítulo próprio; fiscalização de áreas urbana e não urbana citada genericamente
34,35,Tít. II — Cap. V,Higiene dos sanitários,ALTERADO,25–26,Mantido apenas para estabelecimentos comerciais/industriais; exigências residenciais suprimidas; dispensador de sabão e lixeira com pedal (25 VII)
36,41,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
42,47,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
48,65,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
66,72,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
73,80,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
81,92,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
93,94,Tít. II — Cap. VIII (Seção VII),Supermercados,REVOGADO_SEM_CORRESPONDENTE,—,Regras específicas (balança-piloto; lavabos junto às gôndolas) desaparecem
95,97,Tít. II — Cap. VIII (Seção VIII),Casas de carnes e peixarias,CONDENSADO,46–48,Requisitos materiais substituídos por dever geral de higiene; uniformes mantidos (48)
98,99,Tít. II — Cap. VIII (Seção IX),Hotéis; restaurantes e congêneres,CONDENSADO,43–45,Lista minuciosa (açucareiros; fio dental; canudos; cardápios plastificados) desaparece
100,103,Tít. II — Cap. VIII (Seção X),Vendedores ambulantes de alimentos,JA_REVOGADO,—,Já revogados pela LC 1189/2023; matéria em legislação específica de ambulantes
