artigo,capitulo_atual,tema,status,plc_arts,observacao
1,Tít. I,Instituição e finalidade do Código,CONDENSADO,1; 8,Finalidade absorvida pelo art. 1º do PLC; dever de facilitar a fiscalização migra para o art. 8º
2,Tít. I,Instituição e finalidade do Código,CONDENSADO,1; 8,Finalidade absorvida pelo art. 1º do PLC; dever de facilitar a fiscalização migra para o art. 8º
3,Tít. I,Instituição e finalidade do Código,CONDENSADO,1; 8,Finalidade absorvida pelo art. 1º do PLC; dever de facilitar a fiscalização migra para o art. 8º
4,Tít. I,Instituição e finalidade do Código,CONDENSADO,1; 8,Finalidade absorvida pelo art. 1º do PLC; dever de facilitar a fiscalização migra para o art. 8º
5,Tít. II — Cap. I,Competência em higiene pública,CONDENSADO,11–12,Rol de fiscalização reescrito no art. 11 §2º; auto de infração tratado no Tít. VI do PLC
6,Tít. II — Cap. I,Competência em higiene pública,CONDENSADO,11–12,Rol de fiscalização reescrito no art. 11 §2º; auto de infração tratado no Tít. VI do PLC
7,Tít. II — Cap. I,Competência em higiene pública,CONDENSADO,11–12,Rol de fiscalização reescrito no art. 11 §2º; auto de infração tratado no Tít. VI do PLC
8,Tít. II — Cap. I,Competência em higiene pública,CONDENSADO,11–12,Rol de fiscalização reescrito no art. 11 §2º; auto de infração tratado no Tít. VI do PLC
9,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
10,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
11,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
12,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
13,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
14,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
15,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
16,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
17,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
18,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
19,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
