plc_arts,tema,sintese,atencao
2–3,Objetivos e princípios,Rol de objetivos e princípios: função socioambiental; direito à cidade; gestão democrática; precaução; livre iniciativa (art. 3º XI),SIM
5 §3º,Impedimento à fiscalização,Multa de 60–600 UFESP a quem impedir o acesso dos agentes; indeferimento de pedidos quando a vistoria for inviabilizada,SIM
10,Direitos dos munícipes,Devido processo; contraditório e ampla defesa; direito à informação e a tratamento respeitoso,NÃO
19,Veículos abandonados,Remoção após notificação de 24h; presunção de abandono após 15 dias parado no mesmo local,SIM
52–57,Coleta seletiva e cata-treco,Acondicionamento em sacos de até 100 L; antecedência máxima de 5h; agendamento de volumosos; multas por volume,NÃO
58–64,Controle de zoonoses,Deveres de tutores e proprietários; ingresso da autoridade em imóveis; ação imediata em risco iminente (59 §ún.),SIM
69–90,Controle da poluição,Padrões de ar (Ringelmann); odores; poluição sonora (NBR 10151/10152); solo e subsolo; multas de 200–2.000 UFESP,SIM
105–127,Drenagem urbana (Título novo),Obrigações de imóveis (retenção; jardins de chuva); vedações de lançamento; caixas de gordura; responsabilidades de concessionárias e construtoras (corresponsabilidade de 5 anos — art. 121); multas de até 20.000 UFESP por abatimento de via,SIM
153,Crustáceos do gênero Callichirus,Proibição de captura do corrupto em toda a faixa de areia com apreensão do equipamento,NÃO
156–162,Parques municipais,Regras de uso; vedações; eventos mediante autorização prévia,NÃO
166–168,Calçadas e passeios,Responsabilidade do proprietário pela construção e conservação; faixa livre com largura mínima definida em regulamento,SIM
170–176,Mobiliário urbano; ocupação temporária e parklets,Autorização precária; pessoal e intransferível; parklets por regulamentação específica,NÃO
263–279,Concessionárias de serviços públicos,Recomposição de logradouros (LC 852/2014); postes e cabeamento: corresponsabilidade; vedação de novos cabos em postes saturados; remoção de fiação inútil; multas de 215–670 UFESP,SIM
293–298,Termo de compromisso,Ajuste com força de título executivo extrajudicial; suspende sanções não cautelares; prazo improrrogável,SIM
299–312,Sistema de penalidades com dosimetria,Multa-base + atenuantes/agravantes; tratamento diferenciado a MEI/ME/EPP e baixa renda; reincidência em 12 meses; defesa em 30 dias,SIM
313–315,Apreensão com rito e destinação,Retirada em 5 dias; leilão; doação ou destruição; devolução condicionada ao pagamento de multas e despesas,NÃO
317–326,Embargo; interdição; lacração e emparedamento,Recurso sem efeito suspensivo; violação de lacre = infração gravíssima; emparedamento com custo +100% ao proprietário,SIM
328–330,Demolição administrativa,Execução subsidiária pela Prefeitura independentemente de ordem judicial (330 §2º); custo +100%,SIM
