norma,ano,observacao
Lei nº 3.531,1968,Código de Posturas vigente (texto-base)
Lei Complementar nº 365,1999,
Lei Complementar nº 407,2000,
Lei Complementar nº 426,2001,
Lei Complementar nº 471,2003,
Lei Complementar nº 486,2004,
Lei Complementar nº 492,2004,
Lei Complementar nº 506,2004,
Lei Complementar nº 530,2005,
Lei Complementar nº 536,2005,
Lei Complementar nº 570,2006,
Lei Complementar nº 676,2010,
Lei Complementar nº 698,2010,
Lei Complementar nº 703,2010,
Lei Complementar nº 740,2011,
Lei Complementar nº 777,2012,
Lei Complementar nº 782,2012,
Lei Complementar nº 861,2014,
Lei Complementar nº 892,2015,
Lei Complementar nº 934,2016,
Lei Complementar nº 977,2017,
Lei Complementar nº 986,2017,
Lei nº 3.381,2017,Numeração destoa da série (Lei 3.531 é de 1968) [Verificar no texto oficial]
